accessor,role,buffer_view,binary_offset,row_stride_bytes,payload_bytes,byte_identical,changed_bytes,source_sha256,result_sha256
58,ANIMATION,61,1024184,16,32,True,0,78d0ff57676e596f85067eb6bfb6a9d4cb6f1dc4704405c9248e9563f6d05326,78d0ff57676e596f85067eb6bfb6a9d4cb6f1dc4704405c9248e9563f6d05326
59,ANIMATION,62,1024216,12,24,True,0,b92d4afc608887fc6fa56d8fac416980d6de42bbcab9750dfeb346b8245b97fa,b92d4afc608887fc6fa56d8fac416980d6de42bbcab9750dfeb346b8245b97fa
60,ANIMATION,63,1024240,12,6480,True,0,102bf453119465f8f96690b7b89d1716f8c6b0289f30c49186e88fb9cad9c7c5,102bf453119465f8f96690b7b89d1716f8c6b0289f30c49186e88fb9cad9c7c5
61,ANIMATION,64,1030720,16,32,True,0,54391450b0bf744ed3feb50e795a1c45a9cffb44312622c1eed1b0651e8d1281,54391450b0bf744ed3feb50e795a1c45a9cffb44312622c1eed1b0651e8d1281
62,ANIMATION,65,1030752,12,24,True,0,088a8fd7e50eef2d06911f103c28077193ce44d6921fc05c266f6c09d3aea2b9,088a8fd7e50eef2d06911f103c28077193ce44d6921fc05c266f6c09d3aea2b9
63,ANIMATION,66,1030776,12,6480,True,0,f1b12d95fcbb76f604306bfdfa7fbe97bc6f2cf51c5a31d6116dca3372447403,f1b12d95fcbb76f604306bfdfa7fbe97bc6f2cf51c5a31d6116dca3372447403
64,ANIMATION,67,1037256,16,8640,True,0,3101f4fdd3366bca84a76ae4d25c9570674097c4ee4ce7a296e4ce87cdc261e7,3101f4fdd3366bca84a76ae4d25c9570674097c4ee4ce7a296e4ce87cdc261e7
65,ANIMATION,68,1045896,12,24,True,0,16846c20e3dd02c4a6d69cde977fae535dcd19985e46f745a21fde79045ef720,16846c20e3dd02c4a6d69cde977fae535dcd19985e46f745a21fde79045ef720
66,ANIMATION,69,1045920,12,6480,True,0,0b8ef624a2c0985115f9dc139b0910dd48752449840552cbf6644ab62c32c4bd,0b8ef624a2c0985115f9dc139b0910dd48752449840552cbf6644ab62c32c4bd
67,ANIMATION,70,1052400,16,8640,True,0,44a6a79ce3287a8c8ed75e4e7b17d41cf90c0263b7d78f83daabd703c914eb20,44a6a79ce3287a8c8ed75e4e7b17d41cf90c0263b7d78f83daabd703c914eb20
68,ANIMATION,71,1061040,12,24,True,0,7febde38a1a2445807cea86455acde4f774b02609cd461fc1b1cb9c67fcbeaea,7febde38a1a2445807cea86455acde4f774b02609cd461fc1b1cb9c67fcbeaea
69,ANIMATION,72,1061064,12,6480,True,0,10512872fb7eeb99f8df3985dda4b2ef8d3a4d8b3f64be4319cd835db485869f,10512872fb7eeb99f8df3985dda4b2ef8d3a4d8b3f64be4319cd835db485869f
70,ANIMATION,73,1067544,16,8640,True,0,7cd6b886d6059900138c8d0038853b84c02f194905629f94bc98e8f22296a72c,7cd6b886d6059900138c8d0038853b84c02f194905629f94bc98e8f22296a72c
71,ANIMATION,74,1076184,12,24,True,0,41f9efa512cceb17f20655fb427d3c5d2ed1e1eda62e31ea460dbc842d63a373,41f9efa512cceb17f20655fb427d3c5d2ed1e1eda62e31ea460dbc842d63a373
